file,datetime,anomaly_score,species
fl_gaia_zoo_congo_15aug25_data\100\er_file_2025_08_10_04_05_49.750000.wav,2025-08-10 04:05:49,-0.0678410817570343,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\100\er_file_2025_08_10_04_05_49.750000.wav,2025-08-10 04:05:49,-0.0678410817570343,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\100\er_file_2025_08_10_04_05_57.500000.wav,2025-08-10 04:05:57,-0.05604616269148355,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\100\er_file_2025_08_10_04_05_57.500000.wav,2025-08-10 04:05:57,-0.05604616269148355,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\100\er_file_2025_08_10_04_08_25.250000.wav,2025-08-10 04:08:25,-0.08558482393823075,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\100\er_file_2025_08_10_04_08_25.250000.wav,2025-08-10 04:08:25,-0.08558482393823075,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\100\er_file_2025_08_10_04_08_47.wav,2025-08-10 04:08:47,-0.07744852436343602,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\100\er_file_2025_08_10_04_08_47.wav,2025-08-10 04:08:47,-0.07744852436343602,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\101\er_file_2025_08_10_04_11_57.750000.wav,2025-08-10 04:11:57,-0.012644528334975924,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\101\er_file_2025_08_10_04_11_57.750000.wav,2025-08-10 04:11:57,-0.012644528334975924,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\101\er_file_2025_08_10_04_14_00.750000.wav,2025-08-10 04:14:00,-0.06542130263786022,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\101\er_file_2025_08_10_04_14_00.750000.wav,2025-08-10 04:14:00,-0.06542130263786022,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\101\er_file_2025_08_10_04_14_46.wav,2025-08-10 04:14:46,-0.09966619018342315,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\101\er_file_2025_08_10_04_14_46.wav,2025-08-10 04:14:46,-0.09966619018342315,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\101\er_file_2025_08_10_04_15_32.250000.wav,2025-08-10 04:15:32,-0.07743705495305525,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\101\er_file_2025_08_10_04_15_32.250000.wav,2025-08-10 04:15:32,-0.07743705495305525,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\101\er_file_2025_08_10_04_16_06.wav,2025-08-10 04:16:06,-0.08897041950682627,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\101\er_file_2025_08_10_04_16_06.wav,2025-08-10 04:16:06,-0.08897041950682627,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\101\er_file_2025_08_10_04_16_15.250000.wav,2025-08-10 04:16:15,-0.0810329442535998,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\101\er_file_2025_08_10_04_16_15.250000.wav,2025-08-10 04:16:15,-0.0810329442535998,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\101\er_file_2025_08_10_04_16_23.250000.wav,2025-08-10 04:16:23,-0.05140476049704601,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\101\er_file_2025_08_10_04_16_23.250000.wav,2025-08-10 04:16:23,-0.05140476049704601,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\101\er_file_2025_08_10_04_17_20.750000.wav,2025-08-10 04:17:20,-0.08816656733522726,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\101\er_file_2025_08_10_04_17_20.750000.wav,2025-08-10 04:17:20,-0.08816656733522726,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\101\er_file_2025_08_10_04_19_56.500000.wav,2025-08-10 04:19:56,-0.09470351779012759,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\101\er_file_2025_08_10_04_19_56.500000.wav,2025-08-10 04:19:56,-0.09470351779012759,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_20_47.500000.wav,2025-08-10 04:20:47,-0.07618618977161723,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_20_47.500000.wav,2025-08-10 04:20:47,-0.07618618977161723,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_20_50.500000.wav,2025-08-10 04:20:50,-0.03841302114109546,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_20_50.500000.wav,2025-08-10 04:20:50,-0.03841302114109546,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_21_14.250000.wav,2025-08-10 04:21:14,-0.07415562316849578,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_21_14.250000.wav,2025-08-10 04:21:14,-0.07415562316849578,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_23_41.500000.wav,2025-08-10 04:23:41,-0.09581735706987493,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_23_41.500000.wav,2025-08-10 04:23:41,-0.09581735706987493,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_24_07.500000.wav,2025-08-10 04:24:07,-0.09770760042641796,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_24_07.500000.wav,2025-08-10 04:24:07,-0.09770760042641796,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_24_55.750000.wav,2025-08-10 04:24:55,-0.09065536183572037,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_24_55.750000.wav,2025-08-10 04:24:55,-0.09065536183572037,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_25_36.750000.wav,2025-08-10 04:25:36,-0.07874281328376137,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_25_36.750000.wav,2025-08-10 04:25:36,-0.07874281328376137,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_25_49.500000.wav,2025-08-10 04:25:49,-0.10099343255714593,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_25_49.500000.wav,2025-08-10 04:25:49,-0.10099343255714593,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_26_22.750000.wav,2025-08-10 04:26:22,-0.012970180888965122,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_26_22.750000.wav,2025-08-10 04:26:22,-0.012970180888965122,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_27_20.250000.wav,2025-08-10 04:27:20,-0.035517824087707095,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_27_20.250000.wav,2025-08-10 04:27:20,-0.035517824087707095,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_27_41.wav,2025-08-10 04:27:41,-0.08057537850681334,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_27_41.wav,2025-08-10 04:27:41,-0.08057537850681334,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_28_05.wav,2025-08-10 04:28:05,-0.10377079230594882,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_28_05.wav,2025-08-10 04:28:05,-0.10377079230594882,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_28_08.500000.wav,2025-08-10 04:28:08,-0.08782730856355425,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_28_08.500000.wav,2025-08-10 04:28:08,-0.08782730856355425,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_28_47.wav,2025-08-10 04:28:47,-0.08919564382832912,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_28_47.wav,2025-08-10 04:28:47,-0.08919564382832912,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_28_49.750000.wav,2025-08-10 04:28:49,-0.08330870628264103,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_28_49.750000.wav,2025-08-10 04:28:49,-0.08330870628264103,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\103\er_file_2025_08_10_04_33_37.250000.wav,2025-08-10 04:33:37,-0.08044764751552236,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\103\er_file_2025_08_10_04_33_37.250000.wav,2025-08-10 04:33:37,-0.08044764751552236,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\103\er_file_2025_08_10_04_38_24.500000.wav,2025-08-10 04:38:24,-0.06816829323961893,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\103\er_file_2025_08_10_04_38_24.500000.wav,2025-08-10 04:38:24,-0.06816829323961893,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\104\er_file_2025_08_10_04_46_38.250000.wav,2025-08-10 04:46:38,-0.03578378341638716,ploceus melanocephalus
